timeframe,date,open,high,low,close,volume,peak_or_valley,strength
15min,2023-09-15 09:41:00,26651.8,26667.4,26651.8,26662.3,3.24510195,peak,2460.0
1min,2023-09-15 09:42:00,26660.5,26660.5,26644.6,26650.4,0.84546939,valley,120.0
1min,2023-09-15 09:44:00,26648.8,26648.8,26633.0,26635.1,2.18521278,valley,420.0
1min,2023-09-15 09:46:00,26640.5,26653.4,26640.5,26653.4,0.66032618,peak,240.0
1min,2023-09-15 09:50:00,26646.0,26646.1,26643.3,26643.4,2.19931833,valley,120.0
1min,2023-09-15 09:51:00,26643.5,26646.9,26643.4,26644.9,0.50035294,peak,180.0
1min,2023-09-15 09:55:00,26627.6,26627.6,26614.1,26627.4,4.77362109,valley,300.0
1min,2023-09-15 09:57:00,26621.0,26621.0,26616.0,26616.0,0.43028722,valley,120.0
5min,2023-09-15 10:02:00,26608.5,26608.5,26597.9,26598.0,3.61821022,valley,1740.0
1min,2023-09-15 10:04:00,26599.6,26599.6,26599.5,26599.6,0.35244476,peak,120.0
15min,2023-09-15 10:06:00,26598.5,26598.5,26597.9,26597.9,1.46012667,valley,1980.0
1min,2023-09-15 10:11:00,26618.8,26628.2,26618.8,26626.8,4.01659478,peak,180.0
1min,2023-09-15 10:15:00,26631.9,26632.0,26630.4,26630.4,1.05524704,peak,360.0
1min,2023-09-15 10:17:00,26630.5,26631.0,26628.4,26631.0,0.1911772,valley,120.0
1min,2023-09-15 10:18:00,26631.0,26631.1,26631.0,26631.0,0.77994113,peak,180.0
1min,2023-09-15 10:19:00,26631.0,26631.1,26625.3,26625.4,0.99399072,valley,480.0
15min,2023-09-15 10:26:00,26647.7,26655.2,26647.7,26648.9,1.59876013,peak,2640.0
1min,2023-09-15 10:31:00,26643.0,26643.0,26636.7,26638.6,0.54940747,valley,180.0
1min,2023-09-15 10:33:00,26638.7,26641.3,26638.6,26641.1,0.57043456,peak,120.0
5min,2023-09-15 10:38:00,26623.3,26623.4,26615.1,26615.1,0.61666317,valley,1680.0
1min,2023-09-15 10:42:00,26615.5,26620.9,26615.5,26620.0,0.53302414,peak,240.0
1min,2023-09-15 10:45:00,26618.7,26618.8,26615.5,26615.5,0.23441793,valley,240.0
1min,2023-09-15 10:52:00,26626.3,26631.7,26626.3,26631.6,0.45818827,peak,240.0
